"area_name","date","to","from","total","hour","hour_tw","ampm","hour12"
"Woodlawn","2019/9/3","4","0","4","15","3","PM","3 PM"
"Woodlawn","2019/9/3","1","2","3","16","4","PM","4 PM"
"Woodlawn","2019/9/3","4","1","5","17","5","PM","5 PM"
"Woodlawn","2019/9/3","2","1","3","18","6","PM","6 PM"
"Woodlawn","2019/9/3","3","0","3","19","7","PM","7 PM"
"Woodlawn","2019/9/3","1","0","1","20","8","PM","8 PM"
"Woodlawn","2019/9/3","3","0","3","21","9","PM","9 PM"
"Woodlawn","2019/9/3","2","0","2","22","10","PM","10 PM"
"Woodlawn","2019/9/3","1","0","1","23","11","PM","11 PM"
"Woodlawn","2019/9/4","1","1","2","0","12","AM","12 AM"
"Woodlawn","2019/9/4","0","1","1","5","5","AM","5 AM"
"Woodlawn","2019/9/4","0","3","3","6","6","AM","6 AM"
"Woodlawn","2019/9/4","0","2","2","8","8","AM","8 AM"
"Woodlawn","2019/9/4","1","2","3","9","9","AM","9 AM"
"Woodlawn","2019/9/4","0","1","1","10","10","AM","10 AM"
"Woodlawn","2019/9/4","0","4","4","11","11","AM","11 AM"
"Woodlawn","2019/9/4","3","1","4","12","12","PM","12 PM"
"Woodlawn","2019/9/4","4","0","4","13","1","PM","1 PM"
"Woodlawn","2019/9/4","3","1","4","14","2","PM","2 PM"
"Woodlawn","2019/9/4","1","2","3","15","3","PM","3 PM"
"Woodlawn","2019/9/4","5","4","9","16","4","PM","4 PM"
"Woodlawn","2019/9/4","1","1","2","17","5","PM","5 PM"
"Woodlawn","2019/9/4","0","1","1","19","7","PM","7 PM"
"Woodlawn","2019/9/4","3","0","3","20","8","PM","8 PM"
"Woodlawn","2019/9/4","1","0","1","21","9","PM","9 PM"
"Woodlawn","2019/9/4","2","0","2","22","10","PM","10 PM"
"Woodlawn","2019/9/4","1","0","1","23","11","PM","11 PM"
"Woodlawn","2019/9/5","0","2","2","5","5","AM","5 AM"
"Woodlawn","2019/9/5","0","2","2","6","6","AM","6 AM"
"Woodlawn","2019/9/5","0","1","1","7","7","AM","7 AM"
"Woodlawn","2019/9/5","3","3","6","8","8","AM","8 AM"
"Woodlawn","2019/9/5","1","1","2","9","9","AM","9 AM"
"Woodlawn","2019/9/5","3","2","5","10","10","AM","10 AM"
"Woodlawn","2019/9/5","2","5","7","11","11","AM","11 AM"
"Woodlawn","2019/9/5","3","1","4","12","12","PM","12 PM"
"Woodlawn","2019/9/5","2","1","3","13","1","PM","1 PM"
"Woodlawn","2019/9/5","4","1","5","14","2","PM","2 PM"
"Woodlawn","2019/9/5","4","3","7","15","3","PM","3 PM"
"Woodlawn","2019/9/5","1","1","2","16","4","PM","4 PM"
"Woodlawn","2019/9/5","4","1","5","17","5","PM","5 PM"
"Woodlawn","2019/9/5","1","1","2","18","6","PM","6 PM"
"Woodlawn","2019/9/5","1","0","1","19","7","PM","7 PM"
"Woodlawn","2019/9/5","3","0","3","20","8","PM","8 PM"
"Woodlawn","2019/9/5","3","0","3","21","9","PM","9 PM"
"Woodlawn","2019/9/5","1","0","1","22","10","PM","10 PM"
"Woodlawn","2019/9/5","1","0","1","23","11","PM","11 PM"
"Woodlawn","2019/9/6","1","0","1","0","12","AM","12 AM"
"Woodlawn","2019/9/6","1","0","1","1","1","AM","1 AM"
"Woodlawn","2019/9/6","0","2","2","6","6","AM","6 AM"
"Woodlawn","2019/9/6","1","2","3","7","7","AM","7 AM"
"Woodlawn","2019/9/6","2","4","6","8","8","AM","8 AM"
"Woodlawn","2019/9/6","1","4","5","9","9","AM","9 AM"
"Woodlawn","2019/9/6","4","2","6","10","10","AM","10 AM"
"Woodlawn","2019/9/6","2","5","7","11","11","AM","11 AM"
"Woodlawn","2019/9/6","4","5","9","12","12","PM","12 PM"
"Woodlawn","2019/9/6","2","4","6","13","1","PM","1 PM"
"Woodlawn","2019/9/6","1","0","1","14","2","PM","2 PM"
"Woodlawn","2019/9/6","4","2","6","15","3","PM","3 PM"
"Woodlawn","2019/9/6","3","2","5","16","4","PM","4 PM"
"Woodlawn","2019/9/6","4","2","6","17","5","PM","5 PM"
"Woodlawn","2019/9/6","1","3","4","18","6","PM","6 PM"
"Woodlawn","2019/9/6","1","0","1","19","7","PM","7 PM"
"Woodlawn","2019/9/6","2","1","3","20","8","PM","8 PM"
"Woodlawn","2019/9/6","2","1","3","21","9","PM","9 PM"
"Woodlawn","2019/9/6","3","0","3","22","10","PM","10 PM"
"Woodlawn","2019/9/6","1","0","1","23","11","PM","11 PM"
