"area_name","date","to","from","total","hour","hour_tw","ampm","hour12"
"Brighton Park","2019/3/29","1","0","1","23","11","PM","11 PM"
"Brighton Park","2019/3/30","1","1","2","1","1","AM","1 AM"
"Brighton Park","2019/3/30","2","0","2","2","2","AM","2 AM"
"Brighton Park","2019/3/30","0","1","1","4","4","AM","4 AM"
"Brighton Park","2019/3/30","0","1","1","8","8","AM","8 AM"
"Brighton Park","2019/3/30","0","1","1","9","9","AM","9 AM"
"Brighton Park","2019/3/30","1","0","1","11","11","AM","11 AM"
"Brighton Park","2019/3/30","1","0","1","14","2","PM","2 PM"
"Brighton Park","2019/3/30","1","0","1","19","7","PM","7 PM"
"Brighton Park","2019/3/30","0","1","1","23","11","PM","11 PM"
"Brighton Park","2019/3/31","1","0","1","1","1","AM","1 AM"
"Brighton Park","2019/3/31","1","0","1","2","2","AM","2 AM"
"Brighton Park","2019/3/31","1","1","2","4","4","AM","4 AM"
"Brighton Park","2019/3/31","1","0","1","5","5","AM","5 AM"
"Brighton Park","2019/3/31","2","0","2","8","8","AM","8 AM"
"Brighton Park","2019/3/31","1","0","1","13","1","PM","1 PM"
"Brighton Park","2019/3/31","2","0","2","17","5","PM","5 PM"
"Brighton Park","2019/3/31","2","0","2","20","8","PM","8 PM"
"Brighton Park","2019/3/31","1","0","1","22","10","PM","10 PM"
"Brighton Park","2019/4/1","1","0","1","2","2","AM","2 AM"
"Brighton Park","2019/4/1","0","1","1","7","7","AM","7 AM"
"Brighton Park","2019/4/1","0","3","3","10","10","AM","10 AM"
"Brighton Park","2019/4/1","3","0","3","11","11","AM","11 AM"
"Brighton Park","2019/4/1","1","1","2","12","12","PM","12 PM"
"Brighton Park","2019/4/1","1","0","1","13","1","PM","1 PM"
"Brighton Park","2019/4/1","1","0","1","15","3","PM","3 PM"
"Brighton Park","2019/4/1","1","0","1","16","4","PM","4 PM"
"Brighton Park","2019/4/1","1","0","1","19","7","PM","7 PM"
"Brighton Park","2019/4/1","1","0","1","20","8","PM","8 PM"
"Brighton Park","2019/4/1","2","0","2","21","9","PM","9 PM"
"Brighton Park","2019/4/1","1","0","1","23","11","PM","11 PM"
"Brighton Park","2019/4/2","0","1","1","3","3","AM","3 AM"
"Brighton Park","2019/4/2","1","0","1","6","6","AM","6 AM"
"Brighton Park","2019/4/2","1","1","2","9","9","AM","9 AM"
"Brighton Park","2019/4/2","1","0","1","14","2","PM","2 PM"
"Brighton Park","2019/4/2","2","0","2","15","3","PM","3 PM"
"Brighton Park","2019/4/2","2","0","2","17","5","PM","5 PM"
"Brighton Park","2019/4/2","1","0","1","21","9","PM","9 PM"
"Brighton Park","2019/4/3","1","0","1","3","3","AM","3 AM"
"Brighton Park","2019/4/3","1","0","1","4","4","AM","4 AM"
"Brighton Park","2019/4/3","1","0","1","5","5","AM","5 AM"
"Brighton Park","2019/4/3","0","1","1","7","7","AM","7 AM"
"Brighton Park","2019/4/3","1","0","1","9","9","AM","9 AM"
"Brighton Park","2019/4/3","2","0","2","10","10","AM","10 AM"
"Brighton Park","2019/4/3","1","0","1","11","11","AM","11 AM"
"Brighton Park","2019/4/3","0","1","1","12","12","PM","12 PM"
"Brighton Park","2019/4/3","1","0","1","13","1","PM","1 PM"
"Brighton Park","2019/4/3","1","0","1","15","3","PM","3 PM"
"Brighton Park","2019/4/3","1","0","1","17","5","PM","5 PM"
"Brighton Park","2019/4/3","1","0","1","22","10","PM","10 PM"
"Brighton Park","2019/4/4","1","0","1","2","2","AM","2 AM"
"Brighton Park","2019/4/4","1","1","2","7","7","AM","7 AM"
"Brighton Park","2019/4/4","2","0","2","8","8","AM","8 AM"
"Brighton Park","2019/4/4","0","2","2","10","10","AM","10 AM"
"Brighton Park","2019/4/4","1","0","1","11","11","AM","11 AM"
"Brighton Park","2019/4/4","2","0","2","12","12","PM","12 PM"
"Brighton Park","2019/4/4","3","0","3","14","2","PM","2 PM"
"Brighton Park","2019/4/4","1","0","1","15","3","PM","3 PM"
"Brighton Park","2019/4/4","1","0","1","16","4","PM","4 PM"
"Brighton Park","2019/4/4","1","0","1","19","7","PM","7 PM"
"Brighton Park","2019/4/5","1","0","1","5","5","AM","5 AM"
"Brighton Park","2019/4/5","1","0","1","6","6","AM","6 AM"
"Brighton Park","2019/4/5","1","0","1","7","7","AM","7 AM"
"Brighton Park","2019/4/5","2","0","2","12","12","PM","12 PM"
"Brighton Park","2019/4/5","1","0","1","13","1","PM","1 PM"
"Brighton Park","2019/4/5","1","0","1","16","4","PM","4 PM"
"Brighton Park","2019/4/5","1","0","1","19","7","PM","7 PM"
"Brighton Park","2019/4/5","2","0","2","23","11","PM","11 PM"
"Brighton Park","2019/4/6","2","0","2","0","12","AM","12 AM"
"Brighton Park","2019/4/6","1","0","1","2","2","AM","2 AM"
"Brighton Park","2019/4/6","2","0","2","21","9","PM","9 PM"
"Brighton Park","2019/4/6","1","0","1","22","10","PM","10 PM"
"Brighton Park","2019/4/7","1","0","1","4","4","AM","4 AM"
"Brighton Park","2019/4/7","1","0","1","5","5","AM","5 AM"
"Brighton Park","2019/4/7","1","0","1","16","4","PM","4 PM"
"Brighton Park","2019/4/7","1","0","1","21","9","PM","9 PM"
"Brighton Park","2019/4/8","1","0","1","11","11","AM","11 AM"
"Brighton Park","2019/4/8","1","0","1","12","12","PM","12 PM"
"Brighton Park","2019/4/8","0","1","1","15","3","PM","3 PM"
"Brighton Park","2019/4/8","1","0","1","20","8","PM","8 PM"
"Brighton Park","2019/4/8","1","0","1","21","9","PM","9 PM"
"Brighton Park","2019/4/9","0","1","1","9","9","AM","9 AM"
"Brighton Park","2019/4/10","1","0","1","1","1","AM","1 AM"
"Brighton Park","2019/4/10","0","1","1","5","5","AM","5 AM"
"Brighton Park","2019/4/10","0","1","1","11","11","AM","11 AM"
"Brighton Park","2019/4/10","1","0","1","17","5","PM","5 PM"
"Brighton Park","2019/4/10","1","0","1","21","9","PM","9 PM"
"Brighton Park","2019/4/11","1","0","1","10","10","AM","10 AM"
"Brighton Park","2019/4/11","1","0","1","13","1","PM","1 PM"
"Brighton Park","2019/4/11","1","0","1","16","4","PM","4 PM"
"Brighton Park","2019/4/12","1","1","2","9","9","AM","9 AM"
"Brighton Park","2019/4/12","1","0","1","10","10","AM","10 AM"
"Brighton Park","2019/4/12","1","0","1","17","5","PM","5 PM"
"Brighton Park","2019/4/13","1","0","1","7","7","AM","7 AM"
"Brighton Park","2019/4/13","2","1","3","17","5","PM","5 PM"
"Brighton Park","2019/4/13","1","0","1","18","6","PM","6 PM"
"Brighton Park","2019/4/13","1","0","1","19","7","PM","7 PM"
"Brighton Park","2019/4/13","1","0","1","20","8","PM","8 PM"
"Brighton Park","2019/4/14","1","0","1","0","12","AM","12 AM"
"Brighton Park","2019/4/14","2","0","2","1","1","AM","1 AM"
"Brighton Park","2019/4/14","1","0","1","3","3","AM","3 AM"
"Brighton Park","2019/4/14","1","0","1","5","5","AM","5 AM"
"Brighton Park","2019/4/14","1","0","1","8","8","AM","8 AM"
"Brighton Park","2019/4/14","0","1","1","13","1","PM","1 PM"
"Brighton Park","2019/4/14","0","1","1","14","2","PM","2 PM"
"Brighton Park","2019/4/14","1","0","1","18","6","PM","6 PM"
"Brighton Park","2019/4/14","1","0","1","19","7","PM","7 PM"
"Brighton Park","2019/4/14","2","0","2","23","11","PM","11 PM"
"Brighton Park","2019/4/15","3","0","3","2","2","AM","2 AM"
"Brighton Park","2019/4/15","1","0","1","4","4","AM","4 AM"
"Brighton Park","2019/4/15","0","1","1","7","7","AM","7 AM"
"Brighton Park","2019/4/15","1","1","2","9","9","AM","9 AM"
"Brighton Park","2019/4/15","1","0","1","11","11","AM","11 AM"
"Brighton Park","2019/4/15","2","0","2","13","1","PM","1 PM"
"Brighton Park","2019/4/15","2","0","2","15","3","PM","3 PM"
"Brighton Park","2019/4/15","1","0","1","18","6","PM","6 PM"
"Brighton Park","2019/4/15","1","0","1","23","11","PM","11 PM"
"Brighton Park","2019/4/16","1","0","1","1","1","AM","1 AM"
"Brighton Park","2019/4/16","0","1","1","7","7","AM","7 AM"
"Brighton Park","2019/4/16","1","0","1","11","11","AM","11 AM"
"Brighton Park","2019/4/16","1","0","1","15","3","PM","3 PM"
"Brighton Park","2019/4/16","1","0","1","16","4","PM","4 PM"
"Brighton Park","2019/4/16","1","1","2","20","8","PM","8 PM"
"Brighton Park","2019/4/16","0","1","1","21","9","PM","9 PM"
"Brighton Park","2019/4/16","1","0","1","22","10","PM","10 PM"
"Brighton Park","2019/4/17","2","0","2","5","5","AM","5 AM"
"Brighton Park","2019/4/17","0","1","1","6","6","AM","6 AM"
"Brighton Park","2019/4/17","1","0","1","8","8","AM","8 AM"
"Brighton Park","2019/4/17","1","0","1","12","12","PM","12 PM"
"Brighton Park","2019/4/17","2","1","3","13","1","PM","1 PM"
"Brighton Park","2019/4/17","1","0","1","15","3","PM","3 PM"
"Brighton Park","2019/4/17","1","0","1","16","4","PM","4 PM"
"Brighton Park","2019/4/17","2","0","2","19","7","PM","7 PM"
"Brighton Park","2019/4/18","0","1","1","2","2","AM","2 AM"
"Brighton Park","2019/4/18","1","0","1","6","6","AM","6 AM"
"Brighton Park","2019/4/18","1","0","1","8","8","AM","8 AM"
"Brighton Park","2019/4/18","0","2","2","11","11","AM","11 AM"
"Brighton Park","2019/4/18","1","0","1","12","12","PM","12 PM"
"Brighton Park","2019/4/18","1","1","2","13","1","PM","1 PM"
"Brighton Park","2019/4/18","0","1","1","14","2","PM","2 PM"
"Brighton Park","2019/4/18","2","1","3","15","3","PM","3 PM"
"Brighton Park","2019/4/18","1","0","1","16","4","PM","4 PM"
"Brighton Park","2019/4/18","0","1","1","20","8","PM","8 PM"
"Brighton Park","2019/4/18","3","0","3","21","9","PM","9 PM"
"Brighton Park","2019/4/19","1","0","1","0","12","AM","12 AM"
"Brighton Park","2019/4/19","1","0","1","1","1","AM","1 AM"
"Brighton Park","2019/4/19","1","0","1","5","5","AM","5 AM"
"Brighton Park","2019/4/19","1","0","1","6","6","AM","6 AM"
"Brighton Park","2019/4/19","1","1","2","11","11","AM","11 AM"
"Brighton Park","2019/4/19","1","0","1","15","3","PM","3 PM"
"Brighton Park","2019/4/19","1","0","1","17","5","PM","5 PM"
"Brighton Park","2019/4/19","1","0","1","20","8","PM","8 PM"
"Brighton Park","2019/4/19","1","0","1","22","10","PM","10 PM"
"Brighton Park","2019/4/20","0","1","1","2","2","AM","2 AM"
"Brighton Park","2019/4/20","1","0","1","3","3","AM","3 AM"
"Brighton Park","2019/4/20","1","0","1","4","4","AM","4 AM"
"Brighton Park","2019/4/20","1","0","1","11","11","AM","11 AM"
"Brighton Park","2019/4/20","1","0","1","14","2","PM","2 PM"
"Brighton Park","2019/4/20","1","0","1","16","4","PM","4 PM"
"Brighton Park","2019/4/20","0","1","1","19","7","PM","7 PM"
"Brighton Park","2019/4/20","1","0","1","20","8","PM","8 PM"
"Brighton Park","2019/4/20","1","0","1","22","10","PM","10 PM"
"Brighton Park","2019/4/21","1","0","1","1","1","AM","1 AM"
"Brighton Park","2019/4/21","0","1","1","2","2","AM","2 AM"
"Brighton Park","2019/4/21","1","0","1","4","4","AM","4 AM"
"Brighton Park","2019/4/21","1","0","1","5","5","AM","5 AM"
"Brighton Park","2019/4/21","1","0","1","6","6","AM","6 AM"
"Brighton Park","2019/4/21","0","1","1","8","8","AM","8 AM"
"Brighton Park","2019/4/21","1","0","1","11","11","AM","11 AM"
"Brighton Park","2019/4/21","0","1","1","12","12","PM","12 PM"
"Brighton Park","2019/4/21","1","0","1","13","1","PM","1 PM"
